,FBProphet,XGBoost,Arima_rsme_optimal,arima_AIC,Actual,LSTM,Date
1202,8077.353654730496,9229.747,9391.186448216684,9396.801710426598,9223.730469,7451.841796875,2018-05-09
1203,8058.868774698751,9307.353,9236.90429182991,9239.414210663212,9325.959961,8231.2763671875,2018-05-10
1204,8035.237242469046,9042.56,9355.694736262689,9341.804980397435,9052.959961,7094.24609375,2018-05-11
1205,8033.099292336936,8464.917,9065.442275402402,9068.37400704286,8441.44043,9477.984375,2018-05-12
1206,8035.285367047571,8521.145,8466.583925226805,8455.885657887136,8515.490234,7913.7451171875,2018-05-13
1207,8005.432714761666,8705.662,8527.097596458161,8530.053038926684,8713.099609,6657.37939453125,2018-05-14
1208,7996.383102125108,8697.462,8721.385080631766,8727.975822591337,8705.19043,7895.34716796875,2018-05-15
1209,7956.123783365023,8533.252,8732.385666921362,8720.054109509165,8504.410156,9393.1572265625,2018-05-16
1210,7919.114657041436,8366.066,8518.847188370326,8518.955372552435,8370.049805,6337.115234375,2018-05-17
1211,7876.735429433809,8092.1133,8381.229989896628,8384.381607964837,8091.830078,7587.46923828125,2018-05-18
1212,7856.002659867874,8230.295,8118.621440115535,8105.719178171922,8255.730469,5317.681640625,2018-05-19
1213,7840.117299385167,8247.732,8258.427594507859,8269.880497168926,8246.990234,4596.3857421875,2018-05-20
1214,7793.071935801511,8508.6875,8264.166954162276,8261.126357246616,8522.330078,7609.35400390625,2018-05-21
1215,7768.039705355728,8427.425,8540.149389707089,8536.903739586964,8419.870117,7732.2744140625,2018-05-22
1216,7713.307243574196,8025.49,8430.933751802779,8434.281081416068,8037.080078,8748.6640625,2018-05-23
1217,7663.594811839644,7566.6597,8061.63754602394,8050.881932407012,7561.120117,6713.2470703125,2018-05-24
1218,7610.497590385323,7597.7524,7578.788777903408,7574.1616810965,7592.299805,7166.71728515625,2018-05-25
1219,7581.1981474365,7491.743,7594.003189998004,7605.391278002723,7486.47998,8140.9423828125,2018-05-26
1220,7559.010790030119,7363.4644,7510.489331883663,7499.402008451999,7362.080078,6437.00439453125,2018-05-27
1221,7507.987061679407,7371.593,7374.307694358468,7374.802690149753,7371.310059,5964.94970703125,2018-05-28
1222,7481.304356788272,7141.6807,7375.590305968858,7384.047475315257,7129.459961,7873.12353515625,2018-05-29
1223,7427.199992580669,7466.9526,7154.843325609325,7141.809023674256,7469.72998,5552.1650390625,2018-05-30
1224,7380.293803704208,7402.2603,7468.740282785866,7482.625171714902,7406.149902,6836.96875,2018-05-31
1225,7332.033142618289,7505.455,7420.361654387491,7418.943186707856,7500.700195,7084.60693359375,2018-06-01
1226,7309.410155829299,7537.8286,7521.812525042428,7513.645003599621,7536.720215,4623.67529296875,2018-06-02
1227,7295.511874847554,7635.2373,7537.018621809588,7549.722712193552,7632.089844,5681.5361328125,2018-06-03
1228,7254.13219912298,7733.655,7649.489806806336,7645.244987012024,7722.529785,6669.5654296875,2018-06-04
1229,7238.167537927713,7501.4326,7739.421963554543,7735.829556975875,7500.899902,4471.98388671875,2018-06-05
1230,7195.558240486251,7625.462,7508.993838353704,7513.845030499189,7625.970215,6658.74365234375,2018-06-06
1231,7160.618666106762,7650.4907,7640.103651237651,7639.1155672455425,7650.819824,6870.21728515625,2018-06-07
1232,7124.489568509491,7679.3237,7664.92953671845,7664.004929519685,7685.140137,6892.54443359375,2018-06-08
1233,7113.862466128478,7615.935,7694.6402780198705,7698.380131354342,7632.52002,6294.9326171875,2018-06-09
1234,7111.536355189398,7501.188,7649.151297049874,7645.675851227428,7499.549805,7126.306640625,2018-06-10
1235,7081.035681920581,6808.344,7513.651687256089,7512.492770841766,6799.290039,5886.14697265625,2018-06-11
1236,7075.011205245062,6893.503,6819.784574126429,6811.107390655548,6905.819824,5311.73828125,2018-06-12
1237,7041.185772138935,6590.277,6907.085260355713,6917.808931421669,6596.879883,8071.77392578125,2018-06-13
1238,7013.687780998418,6378.7085,6615.336808248482,6608.370357376507,6342.75,7643.45263671875,2018-06-14
1239,6983.50596270078,6659.927,6357.883195215971,6353.82904937384,6674.080078,7167.18896484375,2018-06-15
1240,6977.215138626552,6455.445,6666.541878270131,6685.695308732731,6455.450195,4790.02197265625,2018-06-16
1241,6977.533331074932,6547.596,6481.761588777712,6466.711844352644,6545.529785,5560.18359375,2018-06-17
1242,6947.939190300664,6523.594,6552.017871912416,6556.937219040872,6510.069824,5602.1171875,2018-06-18
1243,6998.26062224092,6735.133,6509.647763005579,6521.4198869958855,6742.390137,5834.595703125,2018-06-19
1244,7019.050844902669,6778.1597,6763.797973087899,6754.115671090215,6770.759766,5531.66748046875,2018-06-20
1245,7044.4865482211535,6773.383,6776.043560134262,6782.531086187577,6780.089844,6197.345703125,2018-06-21
1246,7065.63013434746,6716.913,6786.291829893895,6791.876219102921,6737.879883,7996.66748046875,2018-06-22
